mV	°C	bar abs	Zeit	Datum
0,153357	20,9311	1,09398	16:19:42	30.10.2023
0,155974	20,8666	1,097	16:19:52	30.10.2023
0,157801	20,9414	1,09712	16:20:02	30.10.2023
0,153148	21,0405	1,09393	16:20:12	30.10.2023
0,164098	20,8834	1,0933	16:20:22	30.10.2023
0,165196	20,8543	1,09336	16:20:32	30.10.2023
0,171818	20,8543	1,09407	16:20:42	30.10.2023
0,164962	21,2711	1,09398	16:20:52	30.10.2023
0,157541	20,8578	1,0973	16:21:02	30.10.2023
0,231332	20,8543	1,01618	16:21:12	30.10.2023
0,239209	20,8543	1,01593	16:21:22	30.10.2023
0,221384	20,8543	1,0139	16:21:32	30.10.2023
0,221117	21,1436	1,01324	16:21:42	30.10.2023
0,217293	20,7716	1,01368	16:21:52	30.10.2023
0,238419	20,7541	1,01715	16:22:02	30.10.2023
0,247546	21,0364	1,01758	16:22:12	30.10.2023
0,216625	21,0542	1,01402	16:22:22	30.10.2023
0,221466	21,0542	1,01389	16:22:32	30.10.2023
0,234456	21,1413	1,01733	16:22:42	30.10.2023
0,276586	20,983	1,20722	16:22:52	30.10.2023
0,265681	20,7844	1,18055	16:23:02	30.10.2023
0,260246	20,9226	1,16116	16:23:12	30.10.2023
0,269813	21,121	1,15827	16:23:22	30.10.2023
0,269635	20,7569	1,16087	16:23:32	30.10.2023
0,221134	20,853	1,01744	16:23:42	30.10.2023
0,152904	21,4426	1,02719	16:23:52	30.10.2023
0,278641	20,6749	1,20286	16:24:02	30.10.2023
0,269483	20,9443	1,16376	16:24:12	30.10.2023
0,274623	21,3376	1,16208	16:24:22	30.10.2023
0,26945	20,6877	1,16118	16:24:32	30.10.2023
0,227679	20,8433	1,06869	16:24:42	30.10.2023
0,238609	20,9481	1,01751	16:24:52	30.10.2023
0,219953	20,9543	1,0171	16:25:02	30.10.2023
0,234985	20,9543	1,01404	16:25:12	30.10.2023
0,237576	20,9543	1,01407	16:25:22	30.10.2023
0,223166	21,4079	1,01447	16:25:32	30.10.2023
0,216861	20,7338	1,01707	16:25:42	30.10.2023
0,232833	20,833	1,01617	16:25:52	30.10.2023
0,238078	20,8543	1,01453	16:26:02	30.10.2023
0,176602	21,0298	1,02325	16:26:12	30.10.2023
0,165545	21,2284	1,02371	16:26:22	30.10.2023
0,162325	21,0818	1,0244	16:26:32	30.10.2023
0,176297	21,2251	1,0243	16:26:42	30.10.2023
